catppuccin-latte 1-color-fade.webp
catppuccin 2-waves.webp
ethereal 1-cosmic.webp
everforest 1-tree-tops.webp
flexoki-light 1-orb.webp
gruvbox 1-the-backwater.jpg
hackerman 1-synth-scape.jpg
kanagawa 1-kanagawa.jpg
last-horizon 4-new-horizons.jpg
lumon 01-united-in-severance.webp
lupine 05-abstract-wave.webp
matte-black 1-dark-waters.webp
miasma 01-nature-of-fear.webp
nord 1-city-view.webp
osaka-jade 1-glowing-city.webp
retro-82 4-gateway.webp
ristretto 3-industrial-moon.webp
rose-pine 1-funky-shapes.webp
solitude 4-ether.webp
tokyo-night 5-oma-cityscape.jpg
vantablack 1-twisted-stairs.webp
white 1-white.webp
